,job_tags
8298,['Customer Service Skills' 'Customer Relationships' 'Customer Success']
1446,['Electronics Industry']
7295,['word' 'excel' 'powerpoint']
5931,['BD' 'SaaS' 'B2B Sales']
2959,['Software Development' 'Software Engineering' 'software']
2286,['CakeResume 2023 Career Fair']
6306,['電商平台' '網站規劃' '專案溝通╱整合管理']
9794,[]
6546,['廣告AE']
3458,['105台灣台北市松山區' 'cybersecurity' 'PostgreSQL']
10565,['板橋區' '台北' '台灣']
9466,['區塊鏈' '加密貨幣' 'nft']
3749,['C']
11086,[]
1823,[]
3380,[]
6476,[]
4879,['SDET' 'Automation Testing' 'SQA']
4151,['CakeResume 2023 Career Fair']
7449,['台北' 'Brand Marketing' 'Facebook Ads']
11478,['Word' 'PowerPoint' 'Excel']
9964,[]
5199,['Java' 'JavaEE' 'Spring']
11267,['CakeResume 2023 Career Fair']
6696,[]
5327,['C++' 'MFC' 'Windows']
16,['Medical Devices' 'Healthcare' 'Regulatory']
9803,[]
8545,['Cloud Services' 'Cloud' 'VM管理']
8048,[]
8485,[]
9776,[]
5466,['JavaScript' 'HTML' 'Objective-C/Swift']
2015,[]
794,['Adobe Photoshop' '美編設計' '排版']
7705,[]
214,[]
8152,[]
10233,['iOS' 'Android' 'React']
3576,['Kubernetes' 'GCP' 'DevOps']
9300,['marketing' '行銷' '電商行銷']
10537,['photoshop' 'illustrator' 'Sketch']
486,['CakeResume 2023 Career Fair']
8149,['Advertising Agency' 'Advertising']
6078,[]
9132,['javascript' 'MVC' 'AngularJS']
8907,['B2B' 'Front-End Development' 'Web Development']
7937,['國內業務' '產品行銷企劃' 'JLPT N2']
3512,['C#' 'ASP.NET' 'MSSQL']
9615,['Community Management' 'Community Building' 'Community Engagement']
10462,['智能客服' '客服流程訂定' '客服系統']
5151,['Node.js' 'backend' 'Smart Contract']
5886,['word' 'excel' 'google drive']
3888,['Communication Skills' 'Teamwork' 'English']
4106,['Laravel' 'CI' 'CodeIgniter']
7683,[]
588,[]
6388,['photoimpact' 'Illustrator' 'Visio']
1124,['Illustrator' 'Adobe Photoshop' 'Premiere']
8396,['Outlook' 'Excel' 'Word']
6570,['word' 'excel']
3593,['CakeResume 2023 Career Fair']
5987,[]
334,['企劃' '活動企劃' '議題發想']
702,['excel' 'AutoCad 2D' 'AutoCad 3D']
2982,['PHP' 'Laravel' 'API']
276,[]
9446,[]
6933,['Excel' 'Communication' 'Microsoft Office']
5897,['CakeResume 2023 Career Fair']
829,['photoshop' 'illustrator' 'powerpoint']
9825,[]
2027,[]
8409,[]
3683,['Elk' 'Grafana' 'ci/cd']
3081,['Node.js' 'MySQL' 'JavaScript']
8533,['word' 'excel' 'powerpoint']
10496,['Microsoft Office']
4813,['MS SQL' 'Python' 'Github']
10624,['資料庫系統管理維護' 'Sass' 'CSS']
3182,['PHP' 'javascript' '台北']
1400,[]
6913,['10491台灣台北市中山區' 'problem-solving' 'community management']
10980,[]
9966,['word' 'illustrator' 'excel']
1269,[]
909,['AutoCAD' 'photoshop' 'illustrator']
7298,[]
9516,['Project Management' 'Leadership and Teamwork' 'Product Management']
